Data Table for Total Cases - The United States
Date generated: Thu Nov 11 2021 10:08:41 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases
United States,Nov 24 2020,12850577
United States,Nov 23 2020,12671567
United States,Nov 22 2020,12510860
United States,Nov 21 2020,12360255
United States,Nov 20 2020,12188110
United States,Nov 19 2020,11993918
United States,Nov 18 2020,11803956
United States,Nov 17 2020,11628887
United States,Nov 16 2020,11458668
United States,Nov 15 2020,11305348
United States,Nov 14 2020,11165993
United States,Nov 13 2020,11002561
United States,Nov 12 2020,10824488
United States,Nov 11 2020,10659518
United States,Nov 10 2020,10504374
United States,Nov  9 2020,10354511
United States,Nov  8 2020,10228857
United States,Nov  7 2020,10116682
United States,Nov  6 2020,9987824
United States,Nov  5 2020,9852852
United States,Nov  4 2020,9728734
United States,Nov  3 2020,9612413
United States,Nov  2 2020,9511695
United States,Nov  1 2020,9424248
United States,Oct 31 2020,9283697
United States,Oct 30 2020,9190823
United States,Oct 29 2020,9093189
United States,Oct 28 2020,9000982
United States,Oct 27 2020,8915226
United States,Oct 26 2020,8838127
United States,Oct 25 2020,8767569
United States,Oct 24 2020,8702539
United States,Oct 23 2020,8626571
United States,Oct 22 2020,8543558
United States,Oct 21 2020,8467672
United States,Oct 20 2020,8396951
United States,Oct 19 2020,8336478
United States,Oct 18 2020,8274197
United States,Oct 17 2020,8226239
United States,Oct 16 2020,8172161
United States,Oct 15 2020,8102765
United States,Oct 14 2020,8039266
United States,Oct 13 2020,7980324
United States,Oct 12 2020,7927863
United States,Oct 11 2020,7878723
United States,Oct 10 2020,7834472
United States,Oct  9 2020,7780663
United States,Oct  8 2020,7721483
United States,Oct  7 2020,7665487
United States,Oct  6 2020,7610077
United States,Oct  5 2020,7566743
United States,Oct  4 2020,7525069
United States,Oct  3 2020,7490059
United States,Oct  2 2020,7442694
United States,Oct  1 2020,7391142
United States,Sep 30 2020,7343709
United States,Sep 29 2020,7296614
United States,Sep 28 2020,7256647
United States,Sep 27 2020,7217226
United States,Sep 26 2020,7182261
United States,Sep 25 2020,7140907
United States,Sep 24 2020,7091019
United States,Sep 23 2020,7044607
United States,Sep 22 2020,7001677
United States,Sep 21 2020,6951136
United States,Sep 20 2020,6909354
United States,Sep 19 2020,6875517
United States,Sep 18 2020,6833587
United States,Sep 17 2020,6785327
United States,Sep 16 2020,6739929
United States,Sep 15 2020,6695066
United States,Sep 14 2020,6657106
United States,Sep 13 2020,6622222
United States,Sep 12 2020,6590048
United States,Sep 11 2020,6550070
United States,Sep 10 2020,6505316
United States,Sep  9 2020,6465616
United States,Sep  8 2020,6428692
United States,Sep  7 2020,6400190
United States,Sep  6 2020,6375717
United States,Sep  5 2020,6342327
United States,Sep  4 2020,6301474
United States,Sep  3 2020,6250527
United States,Sep  2 2020,6205073
United States,Sep  1 2020,6159880
United States,Aug 31 2020,6120442
